Prediction,Survived,index,Probability,Age Imp,Fare Imp,Sibsp Imp,Parch Imp,Pclass Imp,Embarked Q Imp,Embarked S Imp,Sex Male Imp,top_features,Age,Fare,Sibsp,Parch,Pclass,Embarked Q,Embarked S,Sex Male
0.0,0,1,0.09,0.06255935,-0.33427134,-0.08742959,-0.06272282,-0.31133673,0.0017339005,-0.13874125,-0.83632195,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight> <neg_highlight>Parch</neg_highlight>,22.0,7.25,1,0,3,0,1,1
1.0,1,2,0.97,-0.17284395,0.55631334,-0.028597852000000003,0.0010236059,1.4756966999999999,0.0012547066,0.24744236,2.0552018,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Sibsp</neg_highlight>,38.0,71.2833,1,0,1,0,0,0
1.0,1,3,0.56,-0.07546607400000001,0.2827471,0.102571964,-0.017651951000000003,-0.7453156999999999,0.0012547066,-0.18737224,1.4443771,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Fare</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Age</neg_highlight>,26.0,7.925,0,0,3,0,1,0
1.0,1,4,0.98,0.3230064,0.8014279000000001,-0.05653039,0.0010236059,1.5482192,0.0012547066,-0.10613410000000001,1.9167602,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight>,35.0,53.1,1,0,1,0,1,0
0.0,0,5,0.14,0.04852617,-0.27667663,0.11101218,-0.062383875,-0.33784178,0.0034650173,0.010708691999999999,-0.78266126,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Parch</neg_highlight> <pos_highlight>Age</pos_highlight>,35.0,8.05,0,0,3,0,1,1
0.0,0,6,0.16,0.05854533,-0.22900906,0.100331955,-0.04283941,-0.2563692,-0.07084907,0.22911903,-0.84789616,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Embarked Q</neg_highlight>,0.0,8.4583,0,0,3,1,0,1
0.0,0,7,0.16,-0.7291780999999999,0.19431725,0.11626328,-0.018811004,0.5442139,0.0034650173,-0.063705966,-1.149633,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Embarked S</neg_highlight>,54.0,51.8625,0,0,1,0,1,1
0.0,0,8,0.21,1.2328373,0.012159658,-1.7313709,0.5868318,-0.2514125,0.0030630391999999997,-0.046633999999999995,-0.5480749,<neg_highlight>Sibsp</neg_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Parch</pos_highlight> <neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Embarked S</neg_highlight>,2.0,21.075,3,1,3,0,1,1
1.0,1,9,0.52,0.1892789,0.009075514,0.10877732,0.15237072,-0.7856615,0.0012547066,-0.15229061,1.1174389999999998,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Parch</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,27.0,11.1333,0,2,3,0,1,0
1.0,1,10,0.96,0.15304989,0.33886606,-0.033705264,-0.00030231854,1.0149721999999999,0.0012547066,0.31424585,2.0895464,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Sibsp</neg_highlight>,14.0,30.0708,1,0,2,0,0,0
1.0,1,11,0.86,1.5273809999999999,0.33100262,0.081150584,0.23277085,-0.7146811,0.0014169745999999999,-0.12746795,1.0071301,<pos_highlight>Age</pos_highlight> <pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Parch</pos_highlight> <neg_highlight>Embarked S</neg_highlight>,4.0,16.7,1,1,3,0,1,0
1.0,1,12,0.9,-0.6560397,0.019874811000000003,0.09795034,0.0006643047,1.3929791,0.0012547066,-0.0029249721999999997,1.8647688999999998,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Fare</pos_highlight> <neg_highlight>Embarked S</neg_highlight>,58.0,26.55,0,0,1,0,1,0
0.0,0,13,0.12,-0.08686911,-0.22526465,0.10375673,-0.062383875,-0.30928913,0.0034650173,-0.13084577,-0.7441504,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Age</neg_highlight>,20.0,8.05,0,0,3,0,1,1
0.0,0,14,0.17,-0.40788472,0.19157502,-0.0666645,0.15506202,-0.39200783,0.0034650173,-0.08781554,-0.42941415,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Parch</pos_highlight> <neg_highlight>Embarked S</neg_highlight>,39.0,31.275,1,5,3,0,1,1
